表 6 按行業[1]、所有工作時數[2]及性別劃分的就業人數,,,,,,,,,,,,,,,,,,,
"Table 6 Employed persons by industry[1], hours of work[2] of all employment and sex",,,,,,,,,,,,,,,,,,,
按香港標準行業分類2.0版編製,,,,,,,,,,,,,,,,,,,
Based on Hong Kong Standard Industrial Classification (HSIC) Version 2.0,,,,,,,,,,,,,,,,,,,
行業 Industry,工作時數 Hours of work,性別,Sex,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",30 - 39,男,M,12.2,12.1,9.4,12,12,13.2,17,16.2,16.7,18.3,18.2,16.7,20.8,15.7,20.4,18.3
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",40 - 49,女,F,84.3,85.3,90,98.3,107.8,115.7,124.2,130.3,122,127.9,128.9,122.4,108.7,112.4,106.3,117.4
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",40 - 49,男,M,57.8,58.4,65.2,68.1,69.6,76.1,79.4,80.3,81.2,83,85.7,78,73.8,76.2,77.4,83.9
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",50 - 59,女,F,67.1,64.4,66.4,75.1,79.8,80.6,75.2,72.1,72.7,74.4,70,70.7,51.5,55.9,50.2,52.8
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",50 - 59,男,M,55.2,51.1,56.8,61.4,65.9,63.7,66.2,63.2,63.5,59.6,56.5,61.1,45.1,50.6,46.6,50.1
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",≧60,女,F,84.4,82.6,83,72.6,66.4,63.4,62.1,54.7,55.8,58,56,54.9,34.7,39.8,34.3,40.3
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",≧60,男,M,114.7,111.5,110.4,103.9,94.3,92.6,92.2,85.4,81.6,81.1,82.8,75,50.1,53.1,49.2,51.7
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",小計 Sub-total,女,F,296.7,295.8,300.8,315.9,327.7,343,353,355.5,348.6,367.5,361.7,351.5,298.7,294.3,288.2,306.9
"零售、住宿及膳食服務[3] Retail, accommodation and food services[3]",小計 Sub-total,男,M,255.1,248.9,257.1,262,259.3,266.3,280.3,269.7,270.9,271.4,271.2,260.2,221.5,221.8,223,230.2
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",<18,女,F,6.8,6.8,4.8,6.7,8.9,8.4,9.1,10,11.1,10.4,8.9,12.3,17.9,11.9,9.3,7.7
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",<18,男,M,10.3,11.4,11.1,12.1,12.9,12.7,14.3,15.7,16,17.3,16.9,18.2,27.5,20.1,20,21
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",18 - 29,女,F,9.3,7.3,5.7,7.4,9.1,8.7,10.2,9.5,9.3,11.1,10.5,8.9,9,6.8,5.9,7.5
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",18 - 29,男,M,11.9,14.4,10.6,12.7,16.9,15.1,19,17.2,15.8,22.9,20.2,17.5,22.7,18.8,18,20.1
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",30 - 39,女,F,16.2,14.4,11.1,16.9,14.8,16.3,18.7,16,19.7,18.9,19.1,17.4,11.7,11.9,14.7,15
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",30 - 39,男,M,33.6,35.1,25.8,34.3,30.8,38.3,38.7,36.4,40.1,39.2,37.4,36.2,34.7,32.3,39.1,40.5
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",40 - 49,女,F,50.4,52.5,51.9,52.9,53.1,55.6,57.7,60,58.1,58.8,62,58.8,59.8,63.7,57.9,58.1
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",40 - 49,男,M,144,144,148.3,148.2,155,159.4,156.3,167.2,161.9,160.7,157.5,159.6,156.6,161.4,157.4,160.8
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",50 - 59,女,F,12.8,12,13.5,13.1,12.6,11.5,11,11.7,10.7,12.3,12.2,11.7,9.2,10.6,8.1,8.4
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",50 - 59,男,M,65.5,58.1,65.7,63.8,61,59.6,55.1,55.3,55.3,51,54.2,55.3,42.7,48.4,42.6,42.5
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",≧60,女,F,5,4.2,5.3,5.2,3.4,4.4,5.3,5.2,4.6,5.1,4.2,4.9,5.2,4.5,4.6,3.7
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",≧60,男,M,68,63.2,68.5,61,55.5,54.2,50,50.3,47,47,50.3,51,40.4,39.6,34.8,36.2
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",小計 Sub-total,女,F,100.4,97.2,92.1,102.2,102,104.9,112.1,112.5,113.6,116.6,116.9,114,113,109.4,100.5,100.6
"運輸、倉庫、郵政及速遞服務、資訊及通訊 Transportation, storage, postal and courier services, information and communications",小計 Sub-total,男,M,333.4,326.3,330,332,332.1,339.3,333.5,342.1,336.2,338,336.4,337.8,324.5,320.7,311.9,321.1
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",<18,女,F,13.1,14.8,14.5,14.5,17.4,18.9,19.7,23.4,25.3,25.2,26.4,30.8,30.9,28.8,29.5,34
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",<18,男,M,8,8.4,9.8,8.8,13.3,11.3,13.5,15.7,14.8,16.3,16.1,19.9,21.2,18.8,21.3,23.1
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",18 - 29,女,F,14.9,15.3,14.5,16.3,21.9,18.5,25.1,21.4,20.3,31.9,27,24.6,32,24.8,23,25.3
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",18 - 29,男,M,10,11.3,8.1,9.9,17.4,13.1,17.9,15.4,12.2,21.9,18.1,15.7,23,16.7,15.3,20.6
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",30 - 39,女,F,51.7,44.4,32.5,47.4,39.6,49.1,53.5,46.9,54.8,51,53.1,54.6,46.6,48.4,54.9,59.7
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",30 - 39,男,M,44.3,40.9,30.2,41.9,42.3,48.6,48.6,45.8,52.5,45.3,48.1,48,42.4,37.6,47.8,51.3
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",40 - 49,女,F,150.9,158.7,165.3,168,171.6,182.3,187.7,196.9,200,202.3,210.5,222.3,230.8,241.9,232.4,231.2
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",40 - 49,男,M,151,154.7,159.8,161.5,171.6,183.2,184.7,199.1,197.1,197.7,200.4,207.9,226.6,232.5,214.9,219.1
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",50 - 59,女,F,44.1,42.9,49.3,51,47.8,44.6,42.3,45.7,44.9,46.4,48.3,55,51.1,56.2,46.9,46
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",50 - 59,男,M,55.5,54,61.8,66.4,63.6,60.3,58.9,60,61.3,59.7,62.8,68,62.4,64.7,58.7,60.2
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",≧60,女,F,25.5,26.2,28.2,25,23,22.1,23.5,24.3,23,24.3,26.4,29.7,28.6,31.9,31.8,26.7
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",≧60,男,M,69.9,65,67.5,65.4,61.3,62.3,57.1,55.6,56.1,58.6,60.1,63.3,57.1,59.9,53.8,51.7
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",小計 Sub-total,女,F,300.2,302.3,304.3,322.1,321.3,335.5,351.9,358.7,368.3,381,391.7,417,419.9,432.2,418.5,422.9
"金融、保險、地產、專業及商用服務 Financing, insurance, real estate, professional and business services",小計 Sub-total,男,M,338.6,334.3,337.1,353.9,369.5,378.7,380.7,391.5,394,399.5,405.6,422.8,432.7,430.2,411.8,426.1
"公共行政、社會及個人服務 Public administration, social and personal services",<18,女,F,45.2,48.8,42.3,48,53,59,57.5,62.5,61.6,59.1,63.1,64.1,63.6,55.2,59.6,60.9
"公共行政、社會及個人服務 Public administration, social and personal services",<18,男,M,20.9,24.1,19.6,22.4,23.7,25.4,28,29.7,27.8,26.3,27.6,28.9,33.7,25,30,29.5
"公共行政、社會及個人服務 Public administration, social and personal services",18 - 29,女,F,24.3,25.2,22.4,25.9,30.9,28.9,33.3,29.8,29.3,39.5,34,36.6,37.9,30.3,29.9,34.5
"公共行政、社會及個人服務 Public administration, social and personal services",18 - 29,男,M,10.3,12,9.2,11.4,14.1,13.1,16.3,14.1,12.9,18,16.1,16,17.7,15.5,15.3,17.6
"公共行政、社會及個人服務 Public administration, social and personal services",30 - 39,女,F,67.6,63.9,50.3,68.6,62.8,75.2,74.2,70.5,80.6,75.8,73.3,73.3,69,65.4,69.1,77.4
"公共行政、社會及個人服務 Public administration, social and personal services",30 - 39,男,M,43.3,38.4,32.6,43,39.8,43.2,43.1,44.1,43.8,43.4,45.6,42.5,38.3,36.8,41.1,43
"公共行政、社會及個人服務 Public administration, social and personal services",40 - 49,女,F,173.2,180.9,193.2,190.5,201.3,213.7,214,236.8,234.8,239.2,264.3,296.8,319.8,329.6,318.7,320.1
"公共行政、社會及個人服務 Public administration, social and personal services",40 - 49,男,M,124.2,130.9,145.1,142,142.5,147.4,136.6,152.7,148.6,152.3,152.1,156,161.4,172.5,166.9,166.6
"公共行政、社會及個人服務 Public administration, social and personal services",50 - 59,女,F,70.1,70.7,76,80.5,87,89.1,94.6,91.7,96.5,100.8,102.5,105.1,87.7,90.2,94.2,102.4
"公共行政、社會及個人服務 Public administration, social and personal services",50 - 59,男,M,37.1,36.3,41.7,38.2,36.8,37.3,36.1,37.1,34.8,34.9,38,40.2,37.2,39.1,36.5,39.5
"公共行政、社會及個人服務 Public administration, social and personal services",≧60,女,F,197.5,205.4,221.4,219.6,219.2,218.2,206.3,213.1,221.7,221.3,230.2,216.6,214.7,215.8,203.5,211.2
"公共行政、社會及個人服務 Public administration, social and personal services",≧60,男,M,29.7,30.2,30.7,25.6,25.7,24.7,27.4,26.3,25.8,21.5,27.3,31.8,29.6,26.8,26.5,25
"公共行政、社會及個人服務 Public administration, social and personal services",小計 Sub-total,女,F,577.9,594.9,605.6,632.9,654.2,684.2,680,704.5,724.5,735.6,767.4,792.5,792.8,786.5,775,806.5
"公共行政、社會及個人服務 Public administration, social and personal services",小計 Sub-total,男,M,265.4,272,279,282.5,282.6,291.1,287.4,304,293.6,296.5,306.7,315.4,317.8,315.7,316.2,321.2
其他行業 Other industries,<18,女,F,0.4,‡,0.3,‡,‡,0.3,‡,0.6,0.6,‡,0.4,0.5,0.3,0.4,0.3,0.3
其他行業 Other industries,<18,男,M,0.6,1,0.6,1,1,0.4,1,1.3,0.9,0.8,0.9,1.3,0.7,0.8,1.3,1.1
其他行業 Other industries,18 - 29,女,F,‡,0.4,‡,‡,‡,0.3,0.4,‡,0.6,0.3,0.5,‡,0.6,‡,0.3,0.3
其他行業 Other industries,18 - 29,男,M,0.6,0.4,0.4,0.4,0.9,0.4,0.8,0.7,0.8,0.7,0.7,0.9,0.7,0.7,0.6,0.6
其他行業 Other industries,30 - 39,女,F,1.1,0.9,1,1.3,0.8,1.3,1.2,1.1,1.1,1,1.1,0.9,0.9,0.7,1.2,0.8
其他行業 Other industries,30 - 39,男,M,2.6,2.6,2.1,2.9,2.4,3.3,2.9,3.1,3.1,3.2,2.3,2.6,2.4,1.6,2.5,1.9
其他行業 Other industries,40 - 49,女,F,1.8,1.7,2.2,2.5,1.8,2.6,2.7,2.4,3.5,2.4,3.5,3.3,3.6,3.6,3.2,2.8
其他行業 Other industries,40 - 49,男,M,8.9,9.3,11.7,9.9,10.4,10.3,10,11.6,10.7,8.8,9.9,10.5,9.9,10.3,11.4,10.5
其他行業 Other industries,50 - 59,女,F,0.6,0.3,0.3,0.5,0.5,0.6,0.3,0.4,0.6,‡,0.4,0.7,0.7,0.8,0.6,0.4
其他行業 Other industries,50 - 59,男,M,2.3,2.5,2,2.8,3.1,2,1.9,1.7,2.3,1.6,2.2,2.9,2.1,2.3,2.4,2.4
其他行業 Other industries,≧60,女,F,0.5,0.4,0.5,0.6,0.6,0.4,‡,0.4,0.3,‡,0.3,‡,0.4,0.3,0.5,0.4
其他行業 Other industries,≧60,男,M,2.1,1.7,2,1.8,2.1,1.6,0.9,1.9,1.6,1.8,1.6,1.6,1.2,1.4,1.4,2.1
其他行業 Other industries,小計 Sub-total,女,F,4.4,3.9,4.5,5.3,4.1,5.4,5.1,4.9,6.6,4.3,6,5.9,6.3,6,6.1,5
其他行業 Other industries,小計 Sub-total,男,M,17.1,17.5,18.9,18.9,19.9,18.1,17.5,20.2,19.4,16.9,17.6,19.8,17,17,19.5,18.7
總計 Total,<18,女,F,95.3,105.5,91.1,104.9,117.3,126.7,133.3,146.3,147.5,147.9,147.9,160.4,163.9,135.9,145.5,152.2
總計 Total,<18,男,M,74.9,82.6,69.8,76.3,90.7,84,102.9,105.1,104.1,111.7,107,119.7,140.8,109.2,127.4,126.8
總計 Total,18 - 29,女,F,86,87.8,75,85.6,110.4,102.6,122.8,111.3,106.4,142.5,123.7,119.3,131,105.4,104.1,112.8
總計 Total,18 - 29,男,M,66.1,78.7,58.4,65.7,92.9,80.3,103.6,88.5,83.5,118.2,103.7,95.2,114.3,93.9,91.1,104.4
總計 Total,30 - 39,女,F,230.2,204.9,155.9,216.1,195.4,230.4,234.7,215.1,243.4,232.2,232.5,225.2,196.2,186,211.2,225.4
總計 Total,30 - 39,男,M,215.7,206.1,154.1,204.1,197.9,222.1,229.5,216.4,235.6,229.8,226.7,215.9,193.2,173.1,212.9,223.4
總計 Total,40 - 49,女,F,666.8,682.2,713.6,704.7,744.2,765.5,776.7,816.4,802,802.6,844.5,859.4,865.6,900.7,859,867.6
總計 Total,40 - 49,男,M,839.7,839.9,867.1,869.1,899.8,934.6,906.1,955.9,944,934.4,947.5,908.9,892.4,924.1,897.5,919
總計 Total,50 - 59,女,F,239.3,228.9,251.8,264.4,271.2,262.2,252.9,251.5,252.3,259.8,259.2,270.4,222,236.5,221.1,227.1
總計 Total,50 - 59,男,M,328.9,298.4,340.4,343.6,331.8,314.8,308.7,303.9,302.2,287.7,302.9,311.3,259.7,281.8,255.9,258.4
總計 Total,≧60,女,F,325.9,332.1,353.1,335.6,322.9,319.1,304.5,304.8,313.5,316.9,326,317.1,292,300.7,282.8,289.9
總計 Total,≧60,男,M,340.4,320.5,343.7,306.5,283.4,281.8,267.8,258.6,252.9,248.7,263.1,268.8,219.8,223.1,204.8,202.8
總計 Total,總計 Total,女,F,1643.5,1641.4,1640.5,1711.2,1761.4,1806.5,1824.8,1845.3,1865,1902,1933.8,1951.7,1870.8,1865.1,1823.7,1874.9
總計 Total,總計 Total,男,M,1865.6,1826.2,1833.7,1865.2,1896.6,1917.6,1918.7,1928.5,1922.1,1930.5,1950.8,1919.7,1820.1,1805.1,1789.5,1834.7
總計 Total,總計 Total,總計,Total,3509.1,3467.6,3474.1,3576.4,3658,3724,3743.5,3773.8,3787.1,3832.4,3884.6,3871.4,3690.9,3670.2,3613.2,3709.6
註釋：  ,[1] 由2009年統計年開始，統計數字是按「香港標準行業分類2.0版」編製，其數列已作出後向估計至2008年。因此，2008年及以後的數字不能直接與較早前的數字相比。,,,,,,,,,,,,,,,,,,
,[2] 指在統計前7天內所有工作的工作時數。,,,,,,,,,,,,,,,,,,
,[3] 零售、住宿及膳食服務業合計通常被稱為「與消費及旅遊相關行業」。,,,,,,,,,,,,,,,,,,
,‡ 由於抽樣誤差相對較大，數字不予公布。,,,,,,,,,,,,,,,,,,
Notes:,"[1] Starting from the reference year 2009, the statistics are compiled based on HSIC Version 2.0 and the series has been backcasted to 2008.  Hence, figures from 2008 onwards are not directly comparable to earlier figures.",,,,,,,,,,,,,,,,,,
,[2] Referring to hours of work of all employment during the 7 days before enumeration.,,,,,,,,,,,,,,,,,,
,"[3] The retail, accommodation and food services industries as a whole is generally referred to as the consumption- and tourism-related segment.",,,,,,,,,,,,,,,,,,
,‡ Figures are not released due to relatively large sampling error.,,,,,,,,,,,,,,,,,,
資料來源：,政府統計處綜合住戶統計調查組（三）（查詢電話： 2887 5508； 查詢電郵： ghs@censtatd.gov.hk）,,,,,,,,,,,,,,,,,,
Source: ,"General Household Survey Section (3), Census and Statistics Department ",,,,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 2887 5508; Enquiry e-mail: ghs@censtatd.gov.hk),,,,,,,,,,,,,,,,,,
